name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,Name
Zach Zane,The Hurricane,10,7,0,170.18,65.77,175.26,Southpaw,1989-12-14,0.87,56.0,6.67,20.0,0.0,0.0,26.0,0.0,zach zane
Justin Willis,Big Pretty,8,2,0,185.42,119.75,198.12,Southpaw,1987-07-19,3.37,59.0,2.57,57.0,0.96,66.0,36.0,0.0,justin willis
Ryan Parker,,0,1,0,190.5,106.59,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ryan parker
Raymond Daniels,,0,1,0,187.96,83.91,,Southpaw,,0.0,0.0,2.61,38.0,0.0,0.0,33.0,3.0,raymond daniels
Tito Jones,,11,8,0,172.72,65.77,,Southpaw,1981-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tito jones
Wagnney Fabiano,The Silencer,16,4,0,167.64,65.77,175.26,Southpaw,1975-07-14,1.19,38.0,0.66,70.0,3.44,64.0,100.0,0.4,wagnney fabiano
Mateusz Gamrot,Gamer,23,2,0,177.8,70.31,177.8,Southpaw,1990-12-11,2.97,50.0,3.17,60.0,4.36,30.0,90.0,0.2,mateusz gamrot
Jason Ireland,The Irish Tornado,19,9,1,175.26,73.03,,Southpaw,1979-12-30,1.2,25.0,2.07,51.0,3.59,75.0,0.0,1.2,jason ireland
Ryuki Ueyama,,12,18,5,180.34,81.65,,Southpaw,1976-04-17,0.13,21.0,1.4,46.0,0.5,100.0,0.0,1.5,ryuki ueyama
Adam Fugitt,,9,4,0,185.42,77.11,195.58,Southpaw,1989-01-12,4.3,54.0,5.13,48.0,3.43,33.0,50.0,0.0,adam fugitt
Kazula Vargas,,12,5,0,172.72,70.31,180.34,Southpaw,1985-08-15,3.65,53.0,1.77,57.0,0.4,25.0,30.0,0.4,kazula vargas
Daniel Omielanczuk,,19,8,1,182.88,112.04,187.96,Southpaw,1982-08-31,3.09,57.0,3.29,47.0,0.56,26.0,68.0,0.1,daniel omielanczuk
Brock Larson,,42,10,0,180.34,77.11,180.34,Southpaw,1977-08-23,1.39,46.0,1.5,55.0,2.67,34.0,43.0,2.0,brock larson
Teruto Ishihara,Yashabo,10,7,2,170.18,61.23,175.26,Southpaw,1991-07-23,3.26,44.0,3.63,53.0,0.5,16.0,30.0,0.0,teruto ishihara
Takashi Sugiura,,1,3,0,180.34,102.06,,Southpaw,1970-05-31,1.37,40.0,2.08,53.0,1.33,66.0,0.0,0.0,takashi sugiura
Khalil Rountree Jr.,,13,5,0,185.42,92.99,193.04,Southpaw,1990-02-26,3.73,38.0,4.16,50.0,0.0,0.0,56.0,0.1,khalil rountree jr.
Yuri Vaulin,,0,1,0,193.04,89.36,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yuri vaulin
Tatsuya Mizuno,,16,12,1,185.42,92.99,,Southpaw,1981-06-02,2.25,37.0,3.52,53.0,1.19,25.0,40.0,3.6,tatsuya mizuno
Azamat Murzakanov,The Professional,13,0,0,177.8,92.99,180.34,Southpaw,1989-04-12,4.57,57.0,3.12,57.0,0.75,16.0,83.0,0.0,azamat murzakanov
Melquizael Costa,Melk Cauthy,20,6,0,177.8,70.31,180.34,Southpaw,1996-09-14,5.11,45.0,2.53,64.0,1.87,37.0,42.0,0.6,melquizael costa
Katsuhiko Nagata,,6,7,3,170.18,69.85,,Southpaw,1973-10-31,1.05,19.0,1.5,63.0,0.98,28.0,28.0,0.0,katsuhiko nagata
Sergei Pavlovich,,18,2,0,190.5,116.57,213.36,Southpaw,1992-05-13,8.21,48.0,4.61,55.0,0.0,0.0,75.0,0.0,sergei pavlovich
Goran Reljic,,15,8,0,190.5,92.99,205.74,Southpaw,1984-03-20,1.69,37.0,2.69,59.0,1.69,50.0,33.0,1.1,goran reljic
Jonathan Wiezorek,,11,2,0,190.5,113.4,,Southpaw,1978-02-10,1.27,58.0,5.47,31.0,1.91,20.0,0.0,0.0,jonathan wiezorek
Nobuhiko Takada,,2,6,2,182.88,99.79,,Southpaw,1962-04-12,0.31,24.0,1.92,39.0,1.15,20.0,0.0,0.0,nobuhiko takada
Tom Gallicchio,Da Tank,19,10,0,177.8,77.11,,Southpaw,1986-09-23,3.53,26.0,7.07,43.0,1.0,11.0,0.0,0.0,tom gallicchio
Tatiana Suarez,,11,0,0,165.1,52.16,167.64,Southpaw,1990-12-19,4.27,63.0,1.38,51.0,6.2,61.0,100.0,0.9,tatiana suarez
Adrian Diaz,,11,4,1,177.8,65.77,,Southpaw,1988-04-26,0.48,42.0,3.84,51.0,2.4,50.0,0.0,0.0,adrian diaz
Sarah Frota,A Treta,9,2,0,167.64,56.7,175.26,Southpaw,1987-04-14,4.52,52.0,2.57,55.0,0.0,0.0,53.0,0.0,sarah frota
Takeshi Yamazaki,,15,12,3,172.72,63.05,,Southpaw,,0.57,25.0,1.57,47.0,4.5,50.0,100.0,1.0,takeshi yamazaki
Kazuki Tokudome,,18,7,1,180.34,70.31,185.42,Southpaw,1987-03-04,2.26,41.0,3.63,53.0,2.0,38.0,78.0,0.0,kazuki tokudome
Kiyoshi Tamura,,32,13,3,180.34,83.91,,Southpaw,1969-12-17,2.44,53.0,1.44,60.0,0.58,60.0,45.0,0.2,kiyoshi tamura
Carli Judice,Crispy,3,1,0,170.18,56.7,172.72,Southpaw,1999-03-02,11.2,57.0,12.27,54.0,0.0,0.0,50.0,0.0,carli judice
Gideon Ray,,17,15,1,177.8,83.91,,Southpaw,1973-05-27,2.08,40.0,2.58,53.0,1.49,100.0,0.0,0.0,gideon ray
Royce Gracie,,15,2,3,185.42,79.38,,Southpaw,1966-12-12,0.88,41.0,1.13,37.0,0.0,0.0,66.0,0.8,royce gracie
Elias Urbina,,3,1,0,190.5,83.91,195.58,Southpaw,1993-10-09,3.85,37.0,6.17,50.0,0.0,0.0,0.0,0.0,elias urbina
Masakatsu Funaki,,39,13,2,182.88,83.91,,Southpaw,1969-03-13,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5,masakatsu funaki
Nathan Coy,Soulforce,15,7,0,177.8,77.11,175.26,Southpaw,1978-07-24,3.88,52.0,2.4,61.0,3.17,47.0,50.0,0.0,nathan coy
Jeremy Lang,,21,2,0,180.34,92.99,,Southpaw,1975-05-11,1.13,50.0,1.41,42.0,4.22,60.0,0.0,4.2,jeremy lang
Ode Osbourne,The Jamaican Sensation,12,6,0,170.18,56.7,185.42,Southpaw,1992-01-09,3.74,39.0,4.41,45.0,1.37,27.0,68.0,0.3,ode osbourne
Dongi Yang,The Ox,13,3,0,177.8,83.91,185.42,Southpaw,1984-12-07,3.55,51.0,3.21,63.0,1.7,41.0,61.0,0.5,dongi yang
Gerald Harris,,23,5,0,180.34,83.91,195.58,Southpaw,1979-11-19,1.41,29.0,1.58,62.0,2.96,54.0,72.0,0.0,gerald harris
Bryce Mitchell,Thug Nasty,16,2,0,177.8,65.77,177.8,Southpaw,1994-10-04,2.34,58.0,1.64,58.0,3.51,41.0,33.0,1.6,bryce mitchell
Nick Hein,Sergeant,14,5,0,167.64,70.31,167.64,Southpaw,1984-04-24,2.65,35.0,3.61,59.0,0.86,33.0,83.0,0.0,nick hein
Timothy Johnson,,12,4,0,190.5,120.2,195.58,Southpaw,1985-03-13,3.43,45.0,3.08,44.0,1.09,24.0,69.0,0.0,timothy johnson
Dong Hyun Kim,Stun Gun,22,4,1,187.96,77.11,193.04,Southpaw,1981-11-17,2.12,49.0,1.89,58.0,2.93,43.0,71.0,0.6,dong hyun kim
Cody Durden,,16,4,1,170.18,56.7,170.18,Southpaw,1991-03-29,3.13,49.0,2.94,52.0,5.41,50.0,80.0,0.4,cody durden
Jiniushiyue,Little King Kong,13,2,0,172.72,56.7,175.26,Southpaw,2000-12-09,3.49,39.0,1.66,67.0,1.66,66.0,100.0,0.0,jiniushiyue
Makwan Amirkhani,Mr. Finland,17,9,0,177.8,65.77,182.88,Southpaw,1988-11-08,1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.1,makwan amirkhani
Oleksandr Doskalchuk,,10,2,0,167.64,56.7,,Southpaw,1990-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oleksandr doskalchuk
Clint Godfrey,,13,3,0,167.64,61.23,,Southpaw,1982-10-21,0.57,31.0,0.96,65.0,0.85,25.0,50.0,0.0,clint godfrey
Henry Miller,Sentoryu,6,16,0,170.18,122.47,,Southpaw,1969-07-16,1.25,36.0,2.16,54.0,0.55,25.0,60.0,0.0,henry miller
Joao Elias,Alicate,17,4,1,160.02,56.7,162.56,Southpaw,1995-01-08,0.4,50.0,6.47,20.0,0.0,0.0,50.0,0.0,joao elias
Josh Hendricks,,19,11,0,187.96,106.59,,Southpaw,1976-08-28,0.98,20.0,11.8,29.0,0.0,0.0,0.0,0.0,josh hendricks
Jan Nortje,The Giant,2,6,0,185.42,140.61,,Southpaw,1975-04-11,3.32,51.0,4.5,32.0,0.0,0.0,66.0,2.9,jan nortje
Takenori Sato,,19,11,7,177.8,77.11,,Southpaw,1985-06-08,0.46,33.0,12.92,9.0,0.0,0.0,0.0,0.0,takenori sato
Beneil Dariush,,22,6,1,177.8,70.31,182.88,Southpaw,1989-05-06,3.78,48.0,2.65,57.0,1.9,34.0,80.0,0.9,beneil dariush
Bryan Vetell,,4,3,0,190.5,120.2,,Southpaw,1977-07-26,2.74,60.0,2.13,41.0,0.0,0.0,0.0,0.0,bryan vetell
Lloyd Van Dams,,0,1,0,185.42,108.86,,Southpaw,1972-03-05,0.0,0.0,3.01,15.0,0.0,0.0,0.0,0.0,lloyd van dams
Ion Cutelaba,The Hulk,17,9,1,185.42,92.99,190.5,Southpaw,1993-12-14,4.63,43.0,3.29,48.0,4.75,58.0,77.0,0.0,ion cutelaba
Hailey Cowan,All Hail,7,3,0,172.72,61.23,170.18,Southpaw,1992-02-12,2.97,42.0,3.17,34.0,1.5,33.0,80.0,0.0,hailey cowan
Ariel Beck,,4,5,0,167.64,56.7,167.64,Southpaw,1990-09-16,4.44,34.0,4.31,64.0,0.0,0.0,0.0,0.0,ariel beck
Rico Farrington,The Triggerman,7,3,0,193.04,77.11,200.66,Southpaw,1989-06-19,6.33,41.0,7.2,51.0,0.0,0.0,20.0,0.0,rico farrington
Kenny Florian,KenFlo,14,6,0,177.8,65.77,187.96,Southpaw,1976-05-26,2.41,40.0,1.85,63.0,2.22,33.0,60.0,1.3,kenny florian
Frank Mir,,18,11,0,190.5,119.75,200.66,Southpaw,1979-05-24,2.18,47.0,3.84,38.0,2.02,40.0,54.0,2.0,frank mir
Amilcar Alves,,15,12,0,182.88,77.11,,Southpaw,1988-08-08,0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0,amilcar alves
Francisco Trinaldo,Massaranduba,28,9,0,175.26,77.11,177.8,Southpaw,1978-08-24,3.13,45.0,2.67,60.0,0.98,42.0,60.0,0.5,francisco trinaldo
Jalin Turner,The Tarantula,14,7,0,190.5,70.31,195.58,Southpaw,1995-05-18,6.02,48.0,4.63,41.0,0.88,55.0,75.0,1.2,jalin turner
Ashkan Mokhtarian,The Assassin,13,3,0,167.64,56.7,170.18,Southpaw,1985-09-15,1.95,43.0,3.66,43.0,0.54,16.0,33.0,0.0,ashkan mokhtarian
Papy Abedi,Makambo,10,4,0,180.34,83.91,,Southpaw,1978-06-30,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,papy abedi
Irwin Rivera,The Beast,10,6,0,167.64,61.23,170.18,Southpaw,1989-02-14,3.36,44.0,5.07,57.0,1.0,16.0,70.0,0.0,irwin rivera
Ludovit Klein,Mr. Highlight,20,4,1,170.18,70.31,182.88,Southpaw,1995-02-22,3.49,54.0,3.53,53.0,1.52,45.0,83.0,0.0,ludovit klein
Gabriella Fernandes,Gabi,8,3,0,167.64,56.7,167.64,Southpaw,1993-08-13,1.63,47.0,2.7,47.0,0.0,0.0,61.0,0.0,gabriella fernandes
Cung Le,,9,3,0,175.26,83.91,177.8,Southpaw,1972-05-25,4.36,48.0,2.98,66.0,1.37,71.0,88.0,0.3,cung le
Islam Makhachev,,25,1,0,177.8,70.31,177.8,Southpaw,1991-10-27,2.46,60.0,1.27,61.0,3.17,60.0,90.0,1.0,islam makhachev
Hamdy Abdelwahab,The Hammer,5,0,0,187.96,119.75,182.88,Southpaw,1993-01-22,3.87,52.0,3.13,59.0,3.0,75.0,0.0,0.0,hamdy abdelwahab
Boston Salmon,Boom Boom,6,3,0,175.26,61.23,175.26,Southpaw,1990-11-20,4.13,37.0,7.75,59.0,0.0,0.0,100.0,0.0,boston salmon
Paddy Holohan,The Hooligan,12,2,1,177.8,56.7,175.26,Orthodox,1988-05-03,2.13,46.0,2.81,46.0,2.88,47.0,71.0,1.3,paddy holohan
Angela Magana,Your Majesty,11,9,0,154.94,52.16,165.1,Orthodox,1983-08-02,1.53,28.0,4.92,42.0,0.4,25.0,28.0,0.4,angela magana
Diego Brandao,DB,22,11,0,170.18,65.77,162.56,Orthodox,1987-05-27,2.94,47.0,3.38,62.0,3.21,68.0,80.0,0.6,diego brandao
Casey O'Neill,King,9,1,0,167.64,56.7,175.26,Orthodox,1997-10-07,8.77,55.0,5.9,58.0,1.96,42.0,71.0,0.7,casey o'neill
Allen Berube,Monstah Lobstah,4,3,0,172.72,70.31,,Orthodox,1974-08-25,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4,allen berube
Mizuto Hirota,Pugnus,18,10,2,170.18,70.31,170.18,Orthodox,1981-05-05,3.36,40.0,3.5,54.0,1.36,50.0,58.0,0.1,mizuto hirota
Antonio Braga Neto,,9,3,0,190.5,83.91,195.58,Orthodox,1987-10-29,1.36,33.0,3.92,45.0,3.07,37.0,0.0,0.5,antonio braga neto
Mu Bae Choi,,12,6,0,187.96,104.33,,Orthodox,1970-06-27,1.55,49.0,3.65,44.0,3.12,75.0,60.0,1.0,mu bae choi
WonBin Ki,The Danger,17,9,0,180.34,70.31,185.42,Orthodox,1991-02-11,5.47,47.0,3.24,55.0,0.0,0.0,0.0,0.0,wonbin ki
Darren Uyenoyama,BC,10,6,0,167.64,56.7,165.1,Orthodox,1979-10-15,1.34,39.0,2.21,66.0,1.42,33.0,35.0,0.7,darren uyenoyama
Felix Lee Mitchell,,2,7,0,,,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,felix lee mitchell
Ian Entwistle,Enty,9,3,0,165.1,61.23,,Orthodox,1986-11-19,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,ian entwistle
Jeka Saragih,,14,3,0,172.72,65.77,175.26,Orthodox,1995-01-01,2.76,50.0,2.84,40.0,2.37,100.0,66.0,0.6,jeka saragih
Garrett Armfield,,9,3,0,167.64,61.23,177.8,Orthodox,1996-10-09,5.29,44.0,3.52,57.0,0.0,0.0,75.0,0.0,garrett armfield
Karine Silva,Killer,17,4,0,165.1,56.7,170.18,Orthodox,1993-12-02,3.37,35.0,3.37,50.0,2.45,60.0,0.0,4.1,karine silva
Evangelista Santos,Cyborg,21,18,0,177.8,77.11,193.04,Orthodox,1977-12-12,3.94,36.0,6.01,49.0,0.78,100.0,50.0,0.4,evangelista santos
Rilley Dutro,,11,4,0,172.72,56.7,,Orthodox,1987-09-03,4.74,54.0,5.95,33.0,0.0,0.0,83.0,0.0,rilley dutro
Shaheen Santana,Shazam,6,1,0,185.42,70.31,190.5,Orthodox,1991-06-04,0.82,42.0,1.65,40.0,0.0,0.0,0.0,2.8,shaheen santana
James Barnes,Mooka,14,5,0,172.72,61.23,180.34,Orthodox,1982-05-28,0.57,34.0,3.02,39.0,1.08,16.0,40.0,0.0,james barnes
Aspen Ladd,,9,3,0,167.64,61.23,167.64,Orthodox,1995-03-01,3.78,47.0,4.65,47.0,1.56,47.0,62.0,0.6,aspen ladd
Thomas Denny,The Wildman,27,21,1,177.8,77.11,,Orthodox,1971-04-19,2.36,45.0,4.69,40.0,1.48,17.0,42.0,1.5,thomas denny
Angela Hill,Overkill,16,13,0,160.02,52.16,162.56,Orthodox,1985-01-12,5.44,50.0,4.94,61.0,0.73,34.0,75.0,0.1,angela hill
Nayara Maia,Capita,7,1,1,165.1,56.7,167.64,Orthodox,1990-07-25,0.6,36.0,3.33,43.0,1.0,33.0,0.0,1.0,nayara maia
Robert Sanchez,Littlefury,8,2,0,167.64,56.7,167.64,Orthodox,1986-03-05,0.96,40.0,1.78,46.0,3.61,62.0,50.0,0.7,robert sanchez
Luis Gomez,Tiger Junior,4,1,0,170.18,65.77,172.72,Orthodox,1995-01-28,1.57,33.0,4.03,55.0,4.48,50.0,33.0,0.0,luis gomez
Jonny Parsons,The Sluggernaut,9,3,0,175.26,77.11,175.26,Orthodox,1991-09-06,4.65,44.0,4.89,60.0,0.0,0.0,66.0,0.0,jonny parsons
Hashem Arkhagha,,6,1,0,187.96,83.91,190.5,Orthodox,1989-09-11,1.84,44.0,8.97,43.0,0.0,0.0,50.0,0.0,hashem arkhagha
Will Kerr,,9,3,0,177.8,70.31,175.26,Orthodox,1982-10-21,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,will kerr
Joseph Holmes,Uglyman Joe,8,4,0,193.04,83.91,203.2,Orthodox,1995-07-04,2.88,53.0,3.08,54.0,1.49,40.0,50.0,0.8,joseph holmes
Dean Barry,The Sniper,4,2,0,177.8,77.11,182.88,Orthodox,1992-07-03,9.31,40.0,4.66,51.0,0.0,0.0,100.0,0.0,dean barry
Trevin Giles,,16,5,0,182.88,77.11,187.96,Orthodox,1992-08-06,2.97,53.0,2.09,59.0,1.27,55.0,71.0,0.3,trevin giles
Damacio Page,The Angel of Death,19,10,0,167.64,61.23,167.64,Orthodox,1982-09-30,2.05,38.0,2.47,51.0,2.63,64.0,23.0,0.9,damacio page
Kelly Faszholz,,4,2,0,172.72,61.23,,Orthodox,1985-04-09,4.01,48.0,3.61,52.0,0.0,0.0,44.0,0.0,kelly faszholz
Jesse Lennox,The Ox,14,4,0,175.26,77.11,182.88,Orthodox,1982-03-10,2.69,32.0,3.2,64.0,1.22,66.0,63.0,0.3,jesse lennox
Naoya Ogawa,,7,2,0,193.04,115.67,,Orthodox,1968-03-31,2.41,42.0,1.66,47.0,1.25,100.0,66.0,1.2,naoya ogawa
Josh Samman,Anqa,13,4,0,190.5,83.91,200.66,Orthodox,1988-03-14,2.08,52.0,2.47,34.0,1.09,33.0,33.0,0.4,josh samman
Marcelo Aguiar,,2,3,1,177.8,77.11,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,marcelo aguiar
Eldari Kurtanidze,,0,1,0,167.64,106.59,,Orthodox,1972-04-16,0.47,20.0,3.72,60.0,0.0,0.0,0.0,0.0,eldari kurtanidze
William Knight,Knightmare,11,5,0,177.8,92.99,185.42,Orthodox,1988-04-03,2.62,56.0,3.3,35.0,1.78,40.0,48.0,0.4,william knight
Fedor Emelianenko,The Last Emperor,36,5,0,182.88,104.33,187.96,Orthodox,1976-09-28,3.18,51.0,1.0,63.0,2.0,63.0,82.0,1.9,fedor emelianenko
Sim Kai Xiong,Kobra,5,1,0,165.1,56.7,167.64,Orthodox,1997-09-06,3.19,63.0,4.56,47.0,6.84,28.0,0.0,0.0,sim kai xiong
Henrique da Silva,Frankenstein,14,5,0,190.5,92.99,193.04,Orthodox,1989-09-01,3.89,60.0,5.28,40.0,0.25,14.0,22.0,0.2,henrique da silva
Daniel Gracie,,5,4,1,187.96,102.06,,Orthodox,,1.9,38.0,1.33,59.0,0.36,100.0,80.0,2.1,daniel gracie
Scott Harper,,12,7,0,182.88,83.91,,Orthodox,1972-04-14,1.3,54.0,4.98,47.0,3.25,100.0,0.0,0.0,scott harper
Chris Wilson,The Professor,18,10,0,185.42,77.11,190.5,Orthodox,1977-06-07,2.32,50.0,1.36,55.0,1.31,50.0,60.0,1.6,chris wilson
Mark Scanlon,,9,2,0,175.26,77.11,,Orthodox,,2.2,35.0,3.33,48.0,3.0,75.0,25.0,2.0,mark scanlon
Bobby Voelker,Vicious,19,13,0,182.88,77.11,187.96,Orthodox,1979-04-26,4.01,35.0,5.84,42.0,1.04,50.0,66.0,0.0,bobby voelker
Todd Duffee,,9,3,0,190.5,117.93,198.12,Orthodox,1985-12-06,5.93,37.0,2.87,56.0,0.72,25.0,90.0,0.0,todd duffee
Alistair Overeem,The Demolition Man,47,19,0,193.04,120.2,203.2,Orthodox,1980-05-17,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,alistair overeem
Amir Sadollah,,6,5,0,177.8,77.11,190.5,Orthodox,1980-08-27,4.71,46.0,3.55,60.0,0.57,27.0,60.0,0.3,amir sadollah
Igor Pokrajac,The Duke,28,13,0,182.88,92.99,187.96,Orthodox,1979-01-02,2.25,45.0,4.26,40.0,0.87,29.0,51.0,0.2,igor pokrajac
Ed Ratcliff,9mm,7,3,0,177.8,70.31,180.34,Orthodox,1983-03-05,2.71,38.0,2.96,63.0,0.28,16.0,53.0,0.0,ed ratcliff
Patrick Smith,,20,17,0,187.96,102.06,,Orthodox,1963-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,patrick smith
Larry Cureton,,0,2,0,187.96,108.86,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,larry cureton
Trey Waters,The Truth,8,1,0,195.58,77.11,195.58,Orthodox,1995-02-21,6.45,45.0,3.95,61.0,0.78,50.0,77.0,0.8,trey waters
Aoriqileng,The Mongolian Murderer,25,10,0,170.18,61.23,175.26,Orthodox,1993-06-25,5.31,50.0,5.56,50.0,1.64,46.0,58.0,0.0,aoriqileng
Jaime Alvarez,,6,1,0,172.72,56.7,175.26,Orthodox,1988-03-08,2.73,40.0,4.53,56.0,1.0,33.0,50.0,0.0,jaime alvarez
Kenny Robertson,,15,5,0,177.8,77.11,187.96,Orthodox,1984-02-14,3.72,47.0,3.02,52.0,1.37,26.0,57.0,0.8,kenny robertson
Forrest Griffin,,19,7,0,190.5,92.99,195.58,Orthodox,1979-03-16,4.38,36.0,2.81,61.0,1.05,48.0,57.0,0.7,forrest griffin
Marquel Mederos,,8,1,0,177.8,70.31,175.26,Orthodox,1996-11-30,5.78,60.0,1.93,63.0,0.0,0.0,100.0,0.0,marquel mederos
Karl Reed,No Worries,6,1,0,190.5,92.99,198.12,Orthodox,1988-10-27,2.04,44.0,3.84,38.0,1.06,22.0,53.0,0.0,karl reed
Aleksandar Rakic,,14,3,0,193.04,92.99,198.12,Orthodox,1992-02-06,4.01,50.0,2.3,53.0,0.82,25.0,90.0,0.2,aleksandar rakic
Kerry Schall,Meat Truck,24,13,0,187.96,120.2,,Orthodox,1971-08-09,0.94,11.0,4.84,63.0,0.0,0.0,0.0,0.0,kerry schall
Erin Blanchfield,Cold Blooded,12,1,0,162.56,56.7,167.64,Orthodox,1999-05-04,5.58,52.0,3.32,62.0,2.86,36.0,83.0,1.2,erin blanchfield
Gregor Gillespie,The Gift,14,1,0,170.18,70.31,180.34,Orthodox,1986-11-13,3.74,52.0,2.3,57.0,6.86,48.0,100.0,0.8,gregor gillespie
Callan Potter,The Rockstar,18,9,0,182.88,77.11,182.88,Orthodox,1984-06-09,3.18,50.0,4.72,58.0,3.29,66.0,100.0,0.0,callan potter
Zhang Mingyang,Mountain Tiger,16,6,0,187.96,92.99,190.5,Orthodox,1998-08-16,8.86,56.0,5.57,59.0,0.0,0.0,0.0,0.0,zhang mingyang
Jose Torres,Shorty,8,1,0,162.56,56.7,165.1,Orthodox,1992-08-02,4.37,36.0,9.84,50.0,1.28,33.0,75.0,0.0,jose torres
Tsuyoshi Kohsaka,TK,27,19,2,180.34,102.06,,Orthodox,1970-03-06,1.88,38.0,4.41,54.0,1.32,20.0,33.0,0.4,tsuyoshi kohsaka
Valmir Lazaro,Bidu,15,5,0,182.88,70.31,185.42,Orthodox,1985-08-15,4.87,37.0,4.09,61.0,1.33,40.0,96.0,0.0,valmir lazaro
Ramazan Kuramagomedov,,8,0,0,185.42,77.11,185.42,Orthodox,1996-08-23,11.67,67.0,9.13,54.0,1.0,14.0,0.0,0.0,ramazan kuramagomedov
Rose Namajunas,Thug,12,6,0,165.1,56.7,165.1,Orthodox,1992-06-29,3.68,40.0,3.53,62.0,1.49,48.0,60.0,0.6,rose namajunas
Antonio Arroyo,,9,5,0,190.5,83.91,185.42,Orthodox,1989-07-01,2.82,66.0,2.02,50.0,1.14,41.0,41.0,0.2,antonio arroyo
Danny Sabatello,Italian Gangster,9,1,0,177.8,61.23,180.34,Orthodox,1993-03-31,2.07,57.0,0.2,25.0,3.0,75.0,100.0,1.0,danny sabatello
Jerrod Sanders,J-Reazie,16,3,0,172.72,61.23,182.88,Orthodox,1979-10-01,0.88,64.0,1.14,46.0,2.2,33.0,50.0,1.6,jerrod sanders
Kurt Pellegrino,Batman,16,7,0,172.72,70.31,177.8,Orthodox,1979-05-07,2.45,43.0,1.94,63.0,2.9,54.0,69.0,0.8,kurt pellegrino
Igor Zinoviev,Houdini,4,1,2,185.42,90.26,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,igor zinoviev
Danny Henry,The Hatchet,12,4,0,182.88,65.77,185.42,Orthodox,1988-07-17,5.2,51.0,4.16,45.0,0.74,33.0,50.0,2.2,danny henry
Tyson Pedro,,10,4,0,190.5,92.99,200.66,Orthodox,1991-09-17,3.11,61.0,2.53,54.0,0.94,36.0,52.0,0.9,tyson pedro
Murilo Rua,Ninja,20,13,1,180.34,83.91,,Orthodox,1980-05-22,2.48,45.0,1.85,53.0,1.97,45.0,37.0,1.2,murilo rua
KyeungPyo Kim,Redhorse,11,4,0,175.26,70.31,180.34,Orthodox,1992-01-29,6.77,46.0,6.32,63.0,3.87,40.0,100.0,0.0,kyeungpyo kim
Matt Dwyer,,9,4,0,193.04,77.11,193.04,Orthodox,1989-12-17,2.57,34.0,3.24,54.0,0.44,10.0,60.0,0.0,matt dwyer
Joey Gilbert,,2,3,0,180.34,70.31,,Orthodox,1976-06-05,0.61,42.0,4.44,31.0,0.0,0.0,0.0,0.0,joey gilbert
Bryson Kamaka,,12,20,1,180.34,77.11,,Orthodox,,9.47,60.0,12.63,0.0,0.0,0.0,100.0,0.0,bryson kamaka
Koji Oishi,,25,10,10,172.72,77.11,,Orthodox,1977-05-31,1.43,9.0,17.86,43.0,0.0,0.0,0.0,0.0,koji oishi
Dos Caras Jr.,,9,5,0,193.04,102.06,,Orthodox,1977-05-25,0.77,23.0,1.2,59.0,0.0,0.0,72.0,0.0,dos caras jr.
Harvey Park,Fightbot,12,3,0,182.88,70.31,177.8,Orthodox,1986-03-22,3.77,50.0,7.21,33.0,0.0,0.0,0.0,0.0,harvey park
Rafael Alves,The Turn,20,12,0,172.72,70.31,172.72,Orthodox,1990-11-14,1.85,48.0,3.3,58.0,0.29,25.0,44.0,1.5,rafael alves
Terrion Ware,Flash,17,9,0,172.72,61.23,180.34,Orthodox,1986-03-31,4.02,32.0,6.07,50.0,0.5,22.0,44.0,0.0,terrion ware
Fredy Serrano,El Profe,3,2,0,160.02,56.7,165.1,Orthodox,1979-09-22,1.58,26.0,1.89,61.0,2.84,25.0,84.0,0.0,fredy serrano
Alex Pereira,Poatan,9,2,0,193.04,92.99,200.66,Orthodox,1987-07-07,5.0,62.0,3.65,50.0,0.19,100.0,70.0,0.4,alex pereira
Shara Magomedov,Bullet,12,0,0,187.96,83.91,185.42,Orthodox,1994-05-16,7.53,73.0,4.33,28.0,0.0,0.0,57.0,0.0,shara magomedov
